epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.37086,1.82168,0.88029,1.61835,0.12418,0.36667,0.11415,0.09625,1.25295,0.60202,1.27252,0.06832,0.00032,0.00032
2,7.76646,1.431,0.56133,1.51718,0.91314,0.52778,0.56531,0.46117,1.09089,0.36062,1.19518,0.0356482,0.000648237,0.000648237
3,11.0724,1.23541,0.37543,1.36449,0.7203,0.68889,0.69846,0.53768,1.13967,0.26872,1.20214,0.0029694,0.000969399,0.000969399
4,14.3887,1.19823,0.25859,1.3711,0.82734,0.72517,0.74646,0.55371,1.1068,0.2079,1.19729,0.000975773,0.000975773,0.000975773
5,17.6989,1.15377,0.21955,1.32634,0.69917,0.73889,0.75907,0.56686,1.12111,0.179,1.20669,0.000957205,0.000957205,0.000957205
6,20.9334,1.09851,0.1833,1.31041,0.71055,0.87778,0.81494,0.60101,1.09128,0.15564,1.20138,0.000933683,0.000933683,0.000933683
7,24.2364,1.12089,0.18158,1.31556,0.77943,0.90556,0.86835,0.64835,1.06109,0.13477,1.1961,0.000905463,0.000905463,0.000905463
8,27.7255,1.01284,0.15094,1.25134,0.91745,0.87704,0.90571,0.6764,1.0491,0.1199,1.20824,0.000872857,0.000872857,0.000872857
9,31.0316,1.02246,0.14341,1.27163,0.97827,0.85,0.91397,0.68089,1.06451,0.1155,1.22955,0.00083622,0.00083622,0.00083622
10,34.3199,1.04096,0.13484,1.26481,0.97374,0.85,0.91853,0.69419,1.07968,0.11241,1.23099,0.000795954,0.000795954,0.000795954
11,37.5869,0.999,0.12787,1.24154,0.97793,0.87778,0.91027,0.67148,1.03796,0.10173,1.22151,0.0007525,0.0007525,0.0007525
12,40.752,1.02762,0.12054,1.28244,0.98171,0.87778,0.9193,0.675,1.06221,0.10096,1.2269,0.000706335,0.000706335,0.000706335
13,43.9468,1.00856,0.1182,1.27178,0.97404,0.90556,0.92048,0.6728,1.11129,0.09971,1.23663,0.000657963,0.000657963,0.000657963
14,47.1958,1.04261,0.12424,1.25125,0.96942,0.90556,0.92328,0.68449,1.10182,0.09843,1.23227,0.000607916,0.000607916,0.000607916
15,50.4814,1.00341,0.11441,1.25522,0.98019,0.90556,0.92089,0.67512,1.07765,0.10134,1.24002,0.000556742,0.000556742,0.000556742
