epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3391,3.8855,1.09919,2.03864,0.01692,0.21162,0.02105,0.00712,3.04458,1.01845,1.64747,0.07426,0.00026,0.00026
2,19.1867,2.63186,0.56737,1.56211,0.75335,0.28543,0.31468,0.18195,2.27491,0.45056,1.43019,0.0475279,0.000527931,0.000527931
3,27.4263,2.40168,0.34967,1.44551,0.83067,0.44875,0.49849,0.26576,2.22896,0.27492,1.40261,0.0207876,0.000787559,0.000787559
4,35.6807,2.22133,0.26409,1.37452,0.94307,0.53437,0.57381,0.29301,2.28273,0.2024,1.41658,0.000965239,0.000965239,0.000965239
5,44.8924,2.12954,0.21805,1.34438,0.96253,0.57246,0.61742,0.32267,2.2043,0.17368,1.37896,0.000938772,0.000938772,0.000938772
6,53.4077,2.07259,0.19579,1.32918,0.97041,0.59645,0.63673,0.35788,1.98673,0.15323,1.2981,0.000905463,0.000905463,0.000905463
7,61.9652,2.09259,0.18587,1.33183,0.97765,0.59662,0.64526,0.35111,2.11473,0.15307,1.35958,0.000865839,0.000865839,0.000865839
8,71.0162,2.0138,0.17495,1.31165,0.97137,0.59648,0.66124,0.35076,2.07764,0.15499,1.29304,0.000820525,0.000820525,0.000820525
9,79.7653,2.00664,0.16759,1.30145,0.9722,0.61126,0.68401,0.36983,1.9955,0.13915,1.30073,0.000770234,0.000770234,0.000770234
10,87.9547,2.00795,0.16374,1.2919,0.59236,0.71118,0.67382,0.35481,2.10109,0.14199,1.31829,0.000715761,0.000715761,0.000715761
11,97.2005,1.95582,0.16213,1.28446,0.65076,0.74547,0.69944,0.37892,2.01441,0.13538,1.31584,0.000657963,0.000657963,0.000657963
12,106.225,1.95215,0.16314,1.2862,0.63596,0.7104,0.69036,0.3786,2.0202,0.13807,1.33529,0.000597754,0.000597754,0.000597754
13,114.814,1.93177,0.15578,1.27081,0.66543,0.77282,0.70388,0.37759,2.06626,0.13513,1.34951,0.000536081,0.000536081,0.000536081
14,123.359,1.92932,0.14977,1.27818,0.69302,0.76821,0.70413,0.38425,2.09343,0.13281,1.36841,0.000473919,0.000473919,0.000473919
15,132.674,1.90855,0.1467,1.27856,0.69667,0.7747,0.71001,0.39722,1.96022,0.12927,1.31286,0.000412246,0.000412246,0.000412246
16,152.913,1.84411,0.1406,1.26349,0.70581,0.77204,0.69679,0.39739,1.92292,0.12619,1.29883,0.000352037,0.000352037,0.000352037
17,161.977,1.8658,0.13745,1.25737,0.66468,0.75661,0.70048,0.39308,1.9765,0.12851,1.30922,0.000294239,0.000294239,0.000294239
18,170.172,1.86965,0.13496,1.25725,0.66596,0.74385,0.71528,0.39643,1.94925,0.12565,1.29681,0.000239766,0.000239766,0.000239766
19,178.558,1.80991,0.13166,1.2621,0.67329,0.72768,0.71965,0.40164,1.94329,0.12793,1.30298,0.000189475,0.000189475,0.000189475
20,188.211,1.80739,0.13151,1.25098,0.70371,0.76408,0.7273,0.39955,1.95878,0.12622,1.31026,0.000144161,0.000144161,0.000144161
21,195.986,1.81907,0.1298,1.25164,0.70595,0.77447,0.72436,0.4018,1.94825,0.12559,1.31208,0.000104537,0.000104537,0.000104537
22,203.691,1.8237,0.12987,1.25915,0.70793,0.78199,0.7235,0.40058,1.9791,0.12541,1.31969,7.12282e-05,7.12282e-05,7.12282e-05
23,211.343,1.81052,0.12982,1.25529,0.70684,0.78199,0.72896,0.40678,1.94991,0.1246,1.31223,4.47606e-05,4.47606e-05,4.47606e-05
24,219.765,1.78683,0.13071,1.23601,0.70752,0.78277,0.72891,0.40239,1.99018,0.12436,1.33356,2.55513e-05,2.55513e-05,2.55513e-05
25,227.883,1.80952,0.12852,1.2416,0.71843,0.7811,0.72679,0.40239,1.98964,0.12463,1.33165,1.39032e-05,1.39032e-05,1.39032e-05
