epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,925.317,1.18663,0.59857,1.40139,0.51727,0.64218,0.61031,0.418,1.20649,1.45761,1.32866,0.0670126,0.000333206,0.000333206
2,1863.1,0.98147,0.37887,1.27309,0.69361,0.61429,0.6422,0.45656,1.12129,1.64024,1.27923,0.0340054,0.000659329,0.000659329
3,2787.7,0.90257,0.33153,1.22548,0.7212,0.64756,0.66531,0.47009,1.14074,1.49532,1.27435,0.000969811,0.000957083,0.000957083
4,3715.01,0.84987,0.30143,1.19795,0.74321,0.63123,0.67593,0.49138,1.09156,1.52747,1.25522,0.000905463,0.000905463,0.000905463
5,4964.56,0.8176,0.28248,1.18513,0.71694,0.625,0.6673,0.48517,1.09971,1.5868,1.25616,0.00083622,0.00083622,0.00083622
6,6285.85,0.7108,0.22685,1.13688,0.72199,0.64932,0.67096,0.49194,1.09774,1.64614,1.2603,0.0007525,0.0007525,0.0007525
7,7450.32,0.68487,0.21265,1.12886,0.73324,0.63977,0.67426,0.49273,1.11296,1.76709,1.26868,0.000657963,0.000657963,0.000657963
8,8297.65,0.66676,0.20326,1.12288,0.7315,0.65889,0.67408,0.49339,1.11921,1.78003,1.27013,0.000556742,0.000556742,0.000556742
9,9154.55,0.65131,0.19567,1.11748,0.72924,0.65385,0.67187,0.49585,1.10151,1.7593,1.26664,0.000453258,0.000453258,0.000453258
10,10018.5,0.63807,0.18919,1.11379,0.72994,0.65549,0.67312,0.49589,1.1049,1.7848,1.26822,0.000352037,0.000352037,0.000352037
11,10883.7,0.62658,0.18401,1.11016,0.72766,0.65895,0.67398,0.49557,1.11062,1.79057,1.27099,0.0002575,0.0002575,0.0002575
12,11750.6,0.61705,0.17998,1.10767,0.72434,0.66149,0.67426,0.49464,1.11277,1.79785,1.27283,0.00017378,0.00017378,0.00017378
13,12615.7,0.60867,0.176,1.10536,0.72856,0.65704,0.67393,0.49336,1.11606,1.79963,1.27472,0.000104537,0.000104537,0.000104537
14,13482.4,0.60296,0.17356,1.10409,0.72908,0.65624,0.67411,0.49284,1.11835,1.80301,1.27605,5.2795e-05,5.2795e-05,5.2795e-05
15,14350.4,0.59913,0.17211,1.10306,0.73137,0.65479,0.67429,0.49268,1.11955,1.80668,1.27696,2.08169e-05,2.08169e-05,2.08169e-05
